Facilities,Amount,Comments,Sentiment
Event,7481,Madumi yung area nung dumating kami.,Negative
Room,27941,"Excellent facility, highly recommend to everyone!",Positive
Event,22009,Walang kupas ang ganda ng pool area.,Positive
Reservation,15986,"Everything was superb, clean, and well-maintained.",Positive
Room,26516,The service was perfect and absolutely amazing.,Positive
Hall Rental,17658,Medyo okay naman ang experience namin.,Neutral
Event,25188,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,9680,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,25617,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,4415,"Terrible and awful experience, would not go back.",Negative
Entrance,4476,Madumi yung area nung dumating kami.,Negative
Room,17491,The facilities are fine but could be better.,Neutral
Room,22215,The service was perfect and absolutely amazing.,Positive
Event,7652,Rude staff and very slow service at reception.,Negative
Event,17765,"The room was decent and normal, nothing special.",Neutral
Event,2075,Rude staff and very slow service at reception.,Negative
Event,26996,The service was perfect and absolutely amazing.,Positive
Room,6619,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,14457,"Standard amenities, fine experience for the price.",Neutral
Room,24437,Sulit na sulit ang booking namin.,Positive
Event,9939,"The room was decent and normal, nothing special.",Neutral
Reservation,27553,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,10369,The facilities are fine but could be better.,Neutral
Reservation,4248,Madumi yung area nung dumating kami.,Negative
Room,10305,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,25026,"Excellent facility, highly recommend to everyone!",Positive
Entrance,9519,Medyo okay naman ang experience namin.,Neutral
Event,5803,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,11719,The facilities are fine but could be better.,Neutral
Hall Rental,13308,"It was an okay stay, average service overall.",Neutral
Entrance,5338,"Terrible and awful experience, would not go back.",Negative
Hall Rental,27015,"Beautiful view and very friendly, helpful staff.",Positive
Event,13594,"The room was decent and normal, nothing special.",Neutral
Entrance,2296,Madumi yung area nung dumating kami.,Negative
Event,19566,"Beautiful view and very friendly, helpful staff.",Positive
Event,15791,The service was perfect and absolutely amazing.,Positive
Entrance,8287,Medyo okay naman ang experience namin.,Neutral
Hall Rental,6957,The water was cloudy and the area was messy.,Negative
Reservation,10176,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,17817,Great value for money and a relaxing vibe.,Positive
Hall Rental,23901,Sulit na sulit ang booking namin.,Positive
Event,16376,Good location but service was just standard.,Neutral
Room,15352,"Standard amenities, fine experience for the price.",Neutral
Entrance,7072,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,13208,"It was an okay stay, average service overall.",Neutral
Entrance,17943,"Standard amenities, fine experience for the price.",Neutral
Entrance,13877,Medyo okay naman ang experience namin.,Neutral
Room,15999,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,9296,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,3514,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,13898,"The room was decent and normal, nothing special.",Neutral
Hall Rental,26150,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,8617,"Disappointing stay, a total waste of money.",Negative
Entrance,9946,"Standard amenities, fine experience for the price.",Neutral
Room,3638,Madumi yung area nung dumating kami.,Negative
Entrance,10093,"Standard amenities, fine experience for the price.",Neutral
Room,19524,The service was perfect and absolutely amazing.,Positive
Entrance,17243,Mabait at magalang ang mga staff dito.,Positive
Event,18152,Mabait at magalang ang mga staff dito.,Positive
Room,9240,"Terrible and awful experience, would not go back.",Negative
Hall Rental,9943,Madumi yung area nung dumating kami.,Negative
Reservation,8252,"Terrible and awful experience, would not go back.",Negative
Reservation,10904,"The room was decent and normal, nothing special.",Neutral
Hall Rental,10207,"It was an okay stay, average service overall.",Neutral
Hall Rental,8002,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,22179,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,3407,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,18186,"Excellent facility, highly recommend to everyone!",Positive
Event,15207,"Everything was superb, clean, and well-maintained.",Positive
Room,3782,"Disappointing stay, a total waste of money.",Negative
Hall Rental,27477,"Everything was superb, clean, and well-maintained.",Positive
Entrance,8001,Madumi yung area nung dumating kami.,Negative
Entrance,16017,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,4243,"Terrible and awful experience, would not go back.",Negative
Entrance,25916,Great value for money and a relaxing vibe.,Positive
Reservation,29732,"Excellent facility, highly recommend to everyone!",Positive
Entrance,12780,"It was an okay stay, average service overall.",Neutral
Event,8922,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,15566,Medyo okay naman ang experience namin.,Neutral
Entrance,26718,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,11580,Medyo okay naman ang experience namin.,Neutral
Event,25593,"Beautiful view and very friendly, helpful staff.",Positive
Event,25658,Sulit na sulit ang booking namin.,Positive
Entrance,8067,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,5622,"Terrible and awful experience, would not go back.",Negative
Room,6500,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,9928,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,5161,Madumi yung area nung dumating kami.,Negative
Entrance,9907,"The room was decent and normal, nothing special.",Neutral
Hall Rental,5253,Madumi yung area nung dumating kami.,Negative
Room,19413,The service was perfect and absolutely amazing.,Positive
Hall Rental,15951,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,3321,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,9932,"It was an okay stay, average service overall.",Neutral
Reservation,23096,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,15060,The service was perfect and absolutely amazing.,Positive
Entrance,2831,Madumi yung area nung dumating kami.,Negative
Room,9851,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,12713,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,12396,"It was an okay stay, average service overall.",Neutral
Room,3105,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,7599,Rude staff and very slow service at reception.,Negative
Entrance,16644,Medyo okay naman ang experience namin.,Neutral
Room,4149,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,3030,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,27536,"Everything was superb, clean, and well-maintained.",Positive
Event,4572,The water was cloudy and the area was messy.,Negative
Reservation,15230,Medyo okay naman ang experience namin.,Neutral
Entrance,27989,"Everything was superb, clean, and well-maintained.",Positive
Entrance,3681,Madumi yung area nung dumating kami.,Negative
Room,9961,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,17967,The service was perfect and absolutely amazing.,Positive
Room,25634,"Everything was superb, clean, and well-maintained.",Positive
Reservation,27921,"Excellent facility, highly recommend to everyone!",Positive
Event,15659,"Beautiful view and very friendly, helpful staff.",Positive
Event,18453,"Everything was superb, clean, and well-maintained.",Positive
Room,15780,Mabait at magalang ang mga staff dito.,Positive
Reservation,15804,The facilities are fine but could be better.,Neutral
Entrance,3929,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,5218,The water was cloudy and the area was messy.,Negative
Reservation,29457,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,25733,"Everything was superb, clean, and well-maintained.",Positive
Room,14043,"It was an okay stay, average service overall.",Neutral
Hall Rental,21019,The service was perfect and absolutely amazing.,Positive
Room,5140,"Terrible and awful experience, would not go back.",Negative
Room,13889,Medyo okay naman ang experience namin.,Neutral
Hall Rental,6421,Rude staff and very slow service at reception.,Negative
Event,24110,"Excellent facility, highly recommend to everyone!",Positive
Entrance,15207,Sulit na sulit ang booking namin.,Positive
Reservation,4926,"Terrible and awful experience, would not go back.",Negative
Room,25921,"Excellent facility, highly recommend to everyone!",Positive
Event,14328,Medyo okay naman ang experience namin.,Neutral
Room,27254,Walang kupas ang ganda ng pool area.,Positive
Entrance,11451,The facilities are fine but could be better.,Neutral
Entrance,10555,The facilities are fine but could be better.,Neutral
Reservation,29285,The service was perfect and absolutely amazing.,Positive
Event,27946,Walang kupas ang ganda ng pool area.,Positive
Event,8195,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,16122,The service was perfect and absolutely amazing.,Positive
Event,10600,"The room was decent and normal, nothing special.",Neutral
Reservation,19804,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,6428,The water was cloudy and the area was messy.,Negative
Entrance,5309,Madumi yung area nung dumating kami.,Negative
Event,7587,"Disappointing stay, a total waste of money.",Negative
Reservation,26935,Mabait at magalang ang mga staff dito.,Positive
Event,16476,Medyo okay naman ang experience namin.,Neutral
Entrance,14046,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,14320,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,16347,"It was an okay stay, average service overall.",Neutral
Hall Rental,11177,Medyo okay naman ang experience namin.,Neutral
Reservation,5566,"Terrible and awful experience, would not go back.",Negative
Hall Rental,20110,Sulit na sulit ang booking namin.,Positive
Reservation,12535,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,15610,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,20895,Great value for money and a relaxing vibe.,Positive
Hall Rental,5598,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,26754,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,29980,Mabait at magalang ang mga staff dito.,Positive
Entrance,3514,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,2947,Rude staff and very slow service at reception.,Negative
Entrance,27891,"Excellent facility, highly recommend to everyone!",Positive
Event,5228,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,11966,"It was an okay stay, average service overall.",Neutral
Reservation,6206,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,10258,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,23322,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,23865,"Excellent facility, highly recommend to everyone!",Positive
Entrance,4261,Rude staff and very slow service at reception.,Negative
Entrance,8924,"Terrible and awful experience, would not go back.",Negative
Hall Rental,6266,"Disappointing stay, a total waste of money.",Negative
Event,11832,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,8614,The facilities are fine but could be better.,Neutral
Event,14289,The facilities are fine but could be better.,Neutral
Entrance,13876,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,16460,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,29552,Sulit na sulit ang booking namin.,Positive
Entrance,2858,Rude staff and very slow service at reception.,Negative
Reservation,21813,Mabait at magalang ang mga staff dito.,Positive
Room,16988,"It was an okay stay, average service overall.",Neutral
Room,8702,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,11521,"The room was decent and normal, nothing special.",Neutral
Room,8660,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,10972,Good location but service was just standard.,Neutral
Reservation,4533,"Disappointing stay, a total waste of money.",Negative
Event,8802,"The room was decent and normal, nothing special.",Neutral
Reservation,9073,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,9874,Medyo okay naman ang experience namin.,Neutral
Event,25738,Sulit na sulit ang booking namin.,Positive
Room,6130,Rude staff and very slow service at reception.,Negative
Event,14555,Good location but service was just standard.,Neutral
Room,13108,Medyo okay naman ang experience namin.,Neutral
Reservation,19806,Walang kupas ang ganda ng pool area.,Positive
Event,12232,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,5199,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,18633,Mabait at magalang ang mga staff dito.,Positive
Room,17875,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,2893,Rude staff and very slow service at reception.,Negative
Reservation,5539,Madumi yung area nung dumating kami.,Negative
Event,18725,Great value for money and a relaxing vibe.,Positive
Hall Rental,22843,The service was perfect and absolutely amazing.,Positive
Event,2810,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,16333,"The room was decent and normal, nothing special.",Neutral
Reservation,8093,Madumi yung area nung dumating kami.,Negative
Hall Rental,14410,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,9138,Medyo okay naman ang experience namin.,Neutral
Room,19876,Mabait at magalang ang mga staff dito.,Positive
Reservation,19090,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,14744,Medyo okay naman ang experience namin.,Neutral
Event,4339,"Disappointing stay, a total waste of money.",Negative
Room,28598,The service was perfect and absolutely amazing.,Positive
Entrance,23907,"Excellent facility, highly recommend to everyone!",Positive
Room,20732,Mabait at magalang ang mga staff dito.,Positive
Reservation,11009,Good location but service was just standard.,Neutral
Hall Rental,8073,Madumi yung area nung dumating kami.,Negative
Hall Rental,8687,The facilities are fine but could be better.,Neutral
Entrance,7289,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,18009,The service was perfect and absolutely amazing.,Positive
Room,16652,"The room was decent and normal, nothing special.",Neutral
Event,4997,The water was cloudy and the area was messy.,Negative
Entrance,6732,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,2601,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,6864,Madumi yung area nung dumating kami.,Negative
Room,9072,Madumi yung area nung dumating kami.,Negative
Event,5406,"Terrible and awful experience, would not go back.",Negative
Room,6044,"Terrible and awful experience, would not go back.",Negative
Event,12017,"Standard amenities, fine experience for the price.",Neutral
Room,9627,"It was an okay stay, average service overall.",Neutral
Room,28891,Sulit na sulit ang booking namin.,Positive
Hall Rental,16761,"Excellent facility, highly recommend to everyone!",Positive
Reservation,16279,Mabait at magalang ang mga staff dito.,Positive
Entrance,28949,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,15754,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,9141,The facilities are fine but could be better.,Neutral
Room,2067,"Disappointing stay, a total waste of money.",Negative
Hall Rental,11792,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,17322,"Everything was superb, clean, and well-maintained.",Positive
Room,9307,The facilities are fine but could be better.,Neutral
Hall Rental,8301,"Disappointing stay, a total waste of money.",Negative
Reservation,29619,Mabait at magalang ang mga staff dito.,Positive
Room,8067,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,8665,"Terrible and awful experience, would not go back.",Negative
Room,28669,Walang kupas ang ganda ng pool area.,Positive
Event,17817,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,5985,The water was cloudy and the area was messy.,Negative
Hall Rental,9529,Rude staff and very slow service at reception.,Negative
Hall Rental,8371,"The room was decent and normal, nothing special.",Neutral
Hall Rental,12458,Good location but service was just standard.,Neutral
Room,7599,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,22327,Sulit na sulit ang booking namin.,Positive
Room,3075,"Disappointing stay, a total waste of money.",Negative
Room,16960,The facilities are fine but could be better.,Neutral
Entrance,8370,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,9629,"Standard amenities, fine experience for the price.",Neutral
Reservation,17501,The facilities are fine but could be better.,Neutral
Reservation,7111,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,9938,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,3872,Rude staff and very slow service at reception.,Negative
Event,9092,"Disappointing stay, a total waste of money.",Negative
Hall Rental,8726,Madumi yung area nung dumating kami.,Negative
Entrance,6813,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,4038,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,19737,The service was perfect and absolutely amazing.,Positive
Event,21602,The service was perfect and absolutely amazing.,Positive
Hall Rental,23038,Sulit na sulit ang booking namin.,Positive
Room,24382,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,15697,The facilities are fine but could be better.,Neutral
Event,24273,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,20468,Walang kupas ang ganda ng pool area.,Positive
Reservation,3191,Madumi yung area nung dumating kami.,Negative
Reservation,3451,The water was cloudy and the area was messy.,Negative
Hall Rental,27915,Walang kupas ang ganda ng pool area.,Positive
Reservation,21540,"Beautiful view and very friendly, helpful staff.",Positive
Room,20429,Great value for money and a relaxing vibe.,Positive
Entrance,18564,"Beautiful view and very friendly, helpful staff.",Positive
Room,2888,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,15822,Mabait at magalang ang mga staff dito.,Positive
Entrance,8878,Madumi yung area nung dumating kami.,Negative
Room,16102,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,21295,"Everything was superb, clean, and well-maintained.",Positive
Room,26104,"Excellent facility, highly recommend to everyone!",Positive
Reservation,10282,"The room was decent and normal, nothing special.",Neutral
Reservation,9537,"It was an okay stay, average service overall.",Neutral
Event,16199,"Standard amenities, fine experience for the price.",Neutral
Reservation,29924,Great value for money and a relaxing vibe.,Positive
Reservation,22943,Sulit na sulit ang booking namin.,Positive
Hall Rental,26698,Great value for money and a relaxing vibe.,Positive
Entrance,16615,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,4096,Madumi yung area nung dumating kami.,Negative
Room,25724,Mabait at magalang ang mga staff dito.,Positive
Event,11970,The facilities are fine but could be better.,Neutral
Event,3164,Rude staff and very slow service at reception.,Negative
Room,8429,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,5164,"Disappointing stay, a total waste of money.",Negative
Hall Rental,11109,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,24827,Sulit na sulit ang booking namin.,Positive
Entrance,25348,The service was perfect and absolutely amazing.,Positive
Reservation,8721,Good location but service was just standard.,Neutral
Hall Rental,5414,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,19114,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,27468,Mabait at magalang ang mga staff dito.,Positive
Entrance,23032,"Everything was superb, clean, and well-maintained.",Positive
Reservation,12857,"The room was decent and normal, nothing special.",Neutral
Reservation,3449,The water was cloudy and the area was messy.,Negative
Reservation,15069,Medyo okay naman ang experience namin.,Neutral
Entrance,4558,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,16954,"Standard amenities, fine experience for the price.",Neutral
Reservation,20966,"Everything was superb, clean, and well-maintained.",Positive
Entrance,19164,Walang kupas ang ganda ng pool area.,Positive
Entrance,15525,"Everything was superb, clean, and well-maintained.",Positive
Event,11259,Good location but service was just standard.,Neutral
Room,23958,The service was perfect and absolutely amazing.,Positive
Hall Rental,8882,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,2138,"Terrible and awful experience, would not go back.",Negative
Entrance,15161,"Everything was superb, clean, and well-maintained.",Positive
Event,2753,"Terrible and awful experience, would not go back.",Negative
Room,13485,"It was an okay stay, average service overall.",Neutral
Room,8064,Madumi yung area nung dumating kami.,Negative
Hall Rental,17113,"Everything was superb, clean, and well-maintained.",Positive
Event,7515,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,26485,"Excellent facility, highly recommend to everyone!",Positive
Event,18713,The service was perfect and absolutely amazing.,Positive
Room,26660,Great value for money and a relaxing vibe.,Positive
Event,11490,Good location but service was just standard.,Neutral
Hall Rental,15545,"Excellent facility, highly recommend to everyone!",Positive
Entrance,16256,"Everything was superb, clean, and well-maintained.",Positive
Entrance,26328,Mabait at magalang ang mga staff dito.,Positive
Event,15262,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,20390,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,9628,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,17502,The service was perfect and absolutely amazing.,Positive
Hall Rental,16625,The service was perfect and absolutely amazing.,Positive
Room,13366,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,17949,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,8778,"The room was decent and normal, nothing special.",Neutral
Reservation,21254,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,26375,Mabait at magalang ang mga staff dito.,Positive
Room,4682,Madumi yung area nung dumating kami.,Negative
Room,2901,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,2109,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,8269,"Terrible and awful experience, would not go back.",Negative
Entrance,8054,The water was cloudy and the area was messy.,Negative
Entrance,14837,Medyo okay naman ang experience namin.,Neutral
Hall Rental,29340,Great value for money and a relaxing vibe.,Positive
Entrance,12749,Medyo okay naman ang experience namin.,Neutral
Event,25828,The service was perfect and absolutely amazing.,Positive
Hall Rental,25478,Mabait at magalang ang mga staff dito.,Positive
Entrance,4565,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,8399,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,12820,"It was an okay stay, average service overall.",Neutral
Hall Rental,10964,"The room was decent and normal, nothing special.",Neutral
Reservation,2746,"Disappointing stay, a total waste of money.",Negative
Reservation,5729,Rude staff and very slow service at reception.,Negative
Reservation,5402,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,17614,"The room was decent and normal, nothing special.",Neutral
Hall Rental,17719,"Excellent facility, highly recommend to everyone!",Positive
Entrance,26551,Sulit na sulit ang booking namin.,Positive
Room,5319,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,7201,The water was cloudy and the area was messy.,Negative
Entrance,9655,Madumi yung area nung dumating kami.,Negative
Entrance,7254,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,2273,"Disappointing stay, a total waste of money.",Negative
Reservation,3341,"Disappointing stay, a total waste of money.",Negative
Entrance,9788,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,5236,"Terrible and awful experience, would not go back.",Negative
Event,17557,"Standard amenities, fine experience for the price.",Neutral
Room,16915,"The room was decent and normal, nothing special.",Neutral
Reservation,6164,Madumi yung area nung dumating kami.,Negative
Reservation,15480,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,3104,The water was cloudy and the area was messy.,Negative
Reservation,4749,Rude staff and very slow service at reception.,Negative
Reservation,11791,"Standard amenities, fine experience for the price.",Neutral
Room,8538,The water was cloudy and the area was messy.,Negative
Room,2600,The water was cloudy and the area was messy.,Negative
Reservation,27218,Walang kupas ang ganda ng pool area.,Positive
Room,2421,"Disappointing stay, a total waste of money.",Negative
Reservation,22587,Walang kupas ang ganda ng pool area.,Positive
Entrance,5875,"Terrible and awful experience, would not go back.",Negative
Event,9134,Medyo okay naman ang experience namin.,Neutral
Hall Rental,15226,Medyo okay naman ang experience namin.,Neutral
Reservation,7214,The water was cloudy and the area was messy.,Negative
Hall Rental,11536,"Standard amenities, fine experience for the price.",Neutral
Event,17475,"Standard amenities, fine experience for the price.",Neutral
Event,6310,"Terrible and awful experience, would not go back.",Negative
Event,26886,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,9262,"The room was decent and normal, nothing special.",Neutral
Reservation,9431,Medyo okay naman ang experience namin.,Neutral
Event,8219,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,13388,"It was an okay stay, average service overall.",Neutral
Event,15160,"Standard amenities, fine experience for the price.",Neutral
Reservation,15818,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,16828,"Excellent facility, highly recommend to everyone!",Positive
Event,15920,Mabait at magalang ang mga staff dito.,Positive
Reservation,5086,"Disappointing stay, a total waste of money.",Negative
Hall Rental,15751,The facilities are fine but could be better.,Neutral
Room,9287,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,3070,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,17385,Great value for money and a relaxing vibe.,Positive
Hall Rental,19612,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,8364,Medyo okay naman ang experience namin.,Neutral
Hall Rental,16239,"Excellent facility, highly recommend to everyone!",Positive
Room,9526,The water was cloudy and the area was messy.,Negative
Reservation,23503,Walang kupas ang ganda ng pool area.,Positive
Entrance,26279,"Everything was superb, clean, and well-maintained.",Positive
Event,21396,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,6868,Rude staff and very slow service at reception.,Negative
Event,5985,Madumi yung area nung dumating kami.,Negative
Event,12427,The facilities are fine but could be better.,Neutral
Reservation,13223,"Standard amenities, fine experience for the price.",Neutral
Room,9673,Good location but service was just standard.,Neutral
Reservation,12987,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,23706,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,20342,The service was perfect and absolutely amazing.,Positive
Room,16560,Great value for money and a relaxing vibe.,Positive
Entrance,6907,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,8851,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,13093,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,11808,The facilities are fine but could be better.,Neutral
Event,9468,Madumi yung area nung dumating kami.,Negative
Reservation,6071,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,16062,"Excellent facility, highly recommend to everyone!",Positive
Entrance,11970,Good location but service was just standard.,Neutral
Room,24465,"Everything was superb, clean, and well-maintained.",Positive
Reservation,19703,The service was perfect and absolutely amazing.,Positive
Event,27984,"Everything was superb, clean, and well-maintained.",Positive
Reservation,24310,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,3922,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,17043,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,16986,"Excellent facility, highly recommend to everyone!",Positive
Room,23434,Sulit na sulit ang booking namin.,Positive
Reservation,27846,"Everything was superb, clean, and well-maintained.",Positive
Reservation,10787,"Standard amenities, fine experience for the price.",Neutral
Entrance,26421,"Beautiful view and very friendly, helpful staff.",Positive
Room,15145,"Everything was superb, clean, and well-maintained.",Positive
Room,3779,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,23964,Great value for money and a relaxing vibe.,Positive
Room,9497,"Standard amenities, fine experience for the price.",Neutral
Reservation,19223,Mabait at magalang ang mga staff dito.,Positive
Entrance,8165,Good location but service was just standard.,Neutral
Event,25852,The service was perfect and absolutely amazing.,Positive
Reservation,20232,"Everything was superb, clean, and well-maintained.",Positive
Room,16458,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,7323,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,8537,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,16998,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,9966,Good location but service was just standard.,Neutral
Event,3412,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,10007,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,5396,"Terrible and awful experience, would not go back.",Negative
Entrance,16472,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,11155,"The room was decent and normal, nothing special.",Neutral
Event,25700,"Everything was superb, clean, and well-maintained.",Positive
Entrance,26249,Sulit na sulit ang booking namin.,Positive
Reservation,10044,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,27411,"Everything was superb, clean, and well-maintained.",Positive
Room,26695,Mabait at magalang ang mga staff dito.,Positive
Event,14246,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,13345,"Standard amenities, fine experience for the price.",Neutral
Reservation,15758,"It was an okay stay, average service overall.",Neutral
Reservation,3228,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,17456,Medyo okay naman ang experience namin.,Neutral
Reservation,16256,Sulit na sulit ang booking namin.,Positive
Hall Rental,9667,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,11253,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,19178,"Excellent facility, highly recommend to everyone!",Positive
Reservation,16841,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,9461,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,9983,"Disappointing stay, a total waste of money.",Negative
Room,5513,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,4747,The water was cloudy and the area was messy.,Negative
Room,17190,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,19780,"Everything was superb, clean, and well-maintained.",Positive
Event,12932,Hindi gaanong special pero okay naman yung stay.,Neutral
